,Index,Heading,Questions,Answers,URLs
10,10,Pay Land Transaction Tax,Ways to pay," Digital payments You can pay by: electronic funds transfer CHAPS BACS (payment must be sent 4 working days before due date) Your bank payment reference must be: a UTRN (no gaps, letters ‘UTRN’ or anything else before the characters) a payment reference number for a paper return, for example CF379EH\Bloggs 
 
 Your payment may be delayed if the reference does not match. 
 
 WRA account details to use Account name Welsh Revenue Authority(https://www.gov.wales/welsh-revenue-authority)(https://www.gov.wales/welsh-revenue-authority) Tax Sort code 60 70 80 Account number 10028838 Bank NatWest Address Government Banking CST Parklands De Havilland Way Horwich Bolton BL6 4YU If your account is overseas Account Number (IBAN) GB46NWBK60708010028838 Bank Identifier Code (BIC) NWBKGB2L 
 ",https://www.gov.wales/pay-land-transaction-tax
11,11,Pay Land Transaction Tax,Help and support," If you have any queries about payment or need help, please  contact us(https://www.gov.wales/welsh-revenue-authority/contact-us) . 
 ",https://www.gov.wales/pay-land-transaction-tax
12,12,Land Transaction Tax rates and bands,Main residential tax rates," When you buy a residential property (freehold or leasehold) the following rates will apply to the portion of the price you pay in each band. 
 
 Transactions with an effective date on or after 10 October 2022 
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £225,000 
 0% 
 
 
 The portion over £225,000 up to and including £400,000 
 6% 
 
 
 The portion over £400,000 up to and including £750,000 
 7.5% 
 
 
 The portion over £750,000 up to and including £1,500,000 
 10% 
 
 
 The portion over £1,500,000 
 12% 
 
 
 
 
 We have  transitional guidance for October 2022 main residential rates change(/calculation-land-transaction-tax-payable-technical-guidance#106952) . This expands on the regulations and covers which rates will apply to a transaction. 
 
 
 
 
 Example 
 
 
   
 In November 2022 you buy a house for £280,000. You pay the following: 
 
 0% on the first £225,000 = £0 
 6% on the final £55,000 = £3,300 
 total LTT = £3,300 
 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 In November 2022 you buy a house for £280,000. You pay the following: 
 
 0% on the first £225,000 = £0 
 6% on the final £55,000 = £3,300 
 total LTT = £3,300 
 
 
 
 
 
 
 
   
 In November 2022 you buy a house for £280,000. You pay the following: 
 
 0% on the first £225,000 = £0 
 6% on the final £55,000 = £3,300 
 total LTT = £3,300 
 
 
 
 
 
 In November 2022 you buy a house for £280,000. You pay the following: 
 
 0% on the first £225,000 = £0 
 6% on the final £55,000 = £3,300 
 total LTT = £3,300 
 
 
 
 Transactions with an effective date from 1 July 2021 to 9 October 2022 
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £180,000 
 0% 
 
 
 The portion over £180,000 up to and including £250,000 
 3.5% 
 
 
 The portion over £250,000 up to and including £400,000 
 5% 
 
 
 The portion over £400,000 up to and including £750,000 
 7.5% 
 
 
 The portion over £750,000 up to and including £1,500,000 
 10% 
 
 
 The portion over £1,500,000 
 12% 
 
 
 
 
 These rates also apply 1 April 2018 to 26 July 2020. 
 
 
 
 
 Example 
 
 
   
 In August 2021 you buy a house for £260,000. You pay the following: 
 
 0% on the first £180,000 = £0 
 3.5% on the next £70,000 = £2,450 
 5% on the final £10,000 = £500 
 total LTT = £2,950 
 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 In August 2021 you buy a house for £260,000. You pay the following: 
 
 0% on the first £180,000 = £0 
 3.5% on the next £70,000 = £2,450 
 5% on the final £10,000 = £500 
 total LTT = £2,950 
 
 
 
 
 
 
 
   
 In August 2021 you buy a house for £260,000. You pay the following: 
 
 0% on the first £180,000 = £0 
 3.5% on the next £70,000 = £2,450 
 5% on the final £10,000 = £500 
 total LTT = £2,950 
 
 
 
 
 
 In August 2021 you buy a house for £260,000. You pay the following: 
 
 0% on the first £180,000 = £0 
 3.5% on the next £70,000 = £2,450 
 5% on the final £10,000 = £500 
 total LTT = £2,950 
 
 
 
 Transactions with an effective date from 27 July 2020 to 30 June 2021 
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £250,000 
 0% 
 
 
 The portion over £250,000 up to and including £400,000 
 5% 
 
 
 The portion over £400,000 up to and including £750,000 
 7.5% 
 
 
 The portion over £750,000 up to and including £1,500,000 
 10% 
 
 
 The portion over £1,500,000 
 12% 
 
 
 
 
 
 
 
 Example 
 
 
   
 In May 2021 you buy a house for £300,000. You pay the following: 
 
 0% on the first £250,000 = £0 
 5% on the final £50,000 = £2,500 
 total LTT = £2,500 
 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 In May 2021 you buy a house for £300,000. You pay the following: 
 
 0% on the first £250,000 = £0 
 5% on the final £50,000 = £2,500 
 total LTT = £2,500 
 
 
 
 
 
 
 
   
 In May 2021 you buy a house for £300,000. You pay the following: 
 
 0% on the first £250,000 = £0 
 5% on the final £50,000 = £2,500 
 total LTT = £2,500 
 
 
 
 
 
 In May 2021 you buy a house for £300,000. You pay the following: 
 
 0% on the first £250,000 = £0 
 5% on the final £50,000 = £2,500 
 total LTT = £2,500 
 
 ",https://www.gov.wales/land-transaction-tax-rates-and-bands
13,13,Land Transaction Tax rates and bands,Higher residential tax rates," When you buy a residential property and you already own one or more residential properties you may need to pay the  higher residential rates(https://www.gov.wales/higher-rates-land-transaction-tax-guide) . 
 If you're replacing your main residence the higher rates may not apply. 
 When: 
 
 companies buy residential properties, they'll have to pay the residential higher rates 
 trusts buy residential properties, they may have to pay the residential higher rates 
 
 The following rates will apply to the portion of the price you pay in each band.  
 
 
 Transactions with an effective date on or after 22 December 2020  
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £180,000 
 4% 
 
 
 The portion over £180,000 up to and including £250,000 
 7.5% 
 
 
 The portion over £250,000 up to and including £400,000 
 9% 
 
 
 The portion over £400,000 up to and including £750,000 
 11.5% 
 
 
 The portion over £750,000 up to and including £1,500,000 
 14% 
 
 
 The portion over £1,500,000 
 16% 
 
 
 
 
 These rates do not apply where contracts were exchanged before this date.  
 
 
 
 
 Example 
 
 
   
 If you buy a second home for £260,000, you’ll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 4% on the first £180,000 
 £7,200 
 
 
 7.5% on the next £70,000 
 £5,250 
 
 
 9% on the final £10,000 
 £900 
 
 
 The total LTT will be 
 £13,350 
 
 
 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 If you buy a second home for £260,000, you’ll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 4% on the first £180,000 
 £7,200 
 
 
 7.5% on the next £70,000 
 £5,250 
 
 
 9% on the final £10,000 
 £900 
 
 
 The total LTT will be 
 £13,350 
 
 
 
 
 
 
 
 
 
   
 If you buy a second home for £260,000, you’ll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 4% on the first £180,000 
 £7,200 
 
 
 7.5% on the next £70,000 
 £5,250 
 
 
 9% on the final £10,000 
 £900 
 
 
 The total LTT will be 
 £13,350 
 
 
 
 
 
 
 
 If you buy a second home for £260,000, you’ll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 4% on the first £180,000 
 £7,200 
 
 
 7.5% on the next £70,000 
 £5,250 
 
 
 9% on the final £10,000 
 £900 
 
 
 The total LTT will be 
 £13,350 
 
 
 
 
 
 Transactions with an effective date between 1 April 2018 and 21 December 2020 
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £180,000 
 3% 
 
 
 The portion over £180,000 up to and including £250,000 
 6.5% 
 
 
 The portion over £250,000 up to and including £400,000 
 8% 
 
 
 The portion over £400,000 up to and including £750,000 
 10.5% 
 
 
 The portion over £750,000 up to and including £1,500,000 
 13% 
 
 
 The portion over £1,500,000 
 15% 
 
 
 
 
 These rates also apply where the effective date is after 21 December 2020, but contracts were exchanged before this date.  
 
 
 
 
 Example 
 
 
   
 If you buy a second home for £260,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 3% on the first £180,000 
 £5,400 
 
 
 6.5% on the next £70,000 
 £4,550 
 
 
 8% on the final £10,000 
 £800 
 
 
 The total LTT will be 
 £10,750 
 
 
 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 If you buy a second home for £260,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 3% on the first £180,000 
 £5,400 
 
 
 6.5% on the next £70,000 
 £4,550 
 
 
 8% on the final £10,000 
 £800 
 
 
 The total LTT will be 
 £10,750 
 
 
 
 
 
 
 
 
 
   
 If you buy a second home for £260,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 3% on the first £180,000 
 £5,400 
 
 
 6.5% on the next £70,000 
 £4,550 
 
 
 8% on the final £10,000 
 £800 
 
 
 The total LTT will be 
 £10,750 
 
 
 
 
 
 
 
 If you buy a second home for £260,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 3% on the first £180,000 
 £5,400 
 
 
 6.5% on the next £70,000 
 £4,550 
 
 
 8% on the final £10,000 
 £800 
 
 
 The total LTT will be 
 £10,750 
 
 
 
 ",https://www.gov.wales/land-transaction-tax-rates-and-bands
14,14,Land Transaction Tax rates and bands,Non-residential property tax rates," These rates apply when you buy  non-residential property(https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide)  (freehold or leasehold) such as: 
 
 shops 
 offices 
 agricultural land 
 
 The following rates will apply to the portion of the price you pay in each band. 
 
 Transactions with an effective date on or after 22 December 2020 
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £225,000 
 0% 
 
 
 The portion over £225,000 up to and including £250,000 
 1% 
 
 
 The portion over £250,000 up to and including £1,000,000 
 5% 
 
 
 The portion over £1,000,000 
 6% 
 
 
 
 
 Transactions with an effective date between 1 April 2018 and 21 December 2020 
 
 
 Price threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £150,000 
 0% 
 
 
 The portion over £150,000 up to and including £250,000 
 1% 
 
 
 The portion over £250,000 up to and including £1,000,000 
 5% 
 
 
 The portion over £1,000,000 
 6% 
 
 
 
 ",https://www.gov.wales/land-transaction-tax-rates-and-bands
15,15,Land Transaction Tax rates and bands,Non-residential property rent," If you pay rent on the grant of a lease, the 0% tax band may not apply to the lease premium (see table above), this is called the ‘relevant rent’ rule. The relevant rent threshold changed in February 2021. 
 For any transaction completed: 
 
 before 4 February 2021, the relevant rent threshold is £9,000 
 on or after 4 February 2021, the relevant rent threshold is £13,500 
 
 Please see our  technical guidance on leases(/land-transaction-tax-leases-technical-guidance#6074)  for more information on whether this rule applies to you. 
 The rent over the term of a newly granted lease may be liable to LTT. The tax due is calculated on its net present value (NPV). 
 You can use our  tax calculator(https://www.gov.wales/land-transaction-tax-calculator)(https://www.gov.wales/land-transaction-tax-calculator)  to work out the rental figure on which you pay tax. 
 Where tax is payable on rents due under the term of a lease, the following rates apply. 
 
 
 Transactions with an effective date on or after 22 December 2020 
 
 
 NPV threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £225,000 
 0% 
 
 
 The portion over £225,000 up to and including £2,000,000 
 1% 
 
 
 The portion over £2,000,000 
 2% 
 
 
 
 
 
 Transactions with an effective date between 1 April 2018 and 21 December 2020 
 
 
 NPV threshold 
 LTT rate 
 
 
 
 
 The portion up to and including £150,000 
 0% 
 
 
 The portion over £150,000 up to and including £2,000,000 
 1% 
 
 
 The portion over £2,000,000 
 2% 
 
 
 
 
 
 
 
 Example 
 
 
   
 If you're granted a new lease on an office with an NPV of £170,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 0% on the first £150,000 
 £0 
 
 
 1% on the final £20,000 
 £200 
 
 
 The total LTT will be 
 £200 
 
 
 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 If you're granted a new lease on an office with an NPV of £170,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 0% on the first £150,000 
 £0 
 
 
 1% on the final £20,000 
 £200 
 
 
 The total LTT will be 
 £200 
 
 
 
 
 
 
 
 
 
   
 If you're granted a new lease on an office with an NPV of £170,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 0% on the first £150,000 
 £0 
 
 
 1% on the final £20,000 
 £200 
 
 
 The total LTT will be 
 £200 
 
 
 
 
 
 
 
 If you're granted a new lease on an office with an NPV of £170,000, you'll pay: 
 
 
 
 Rates and bands 
 Tax due 
 
 
 
 
 0% on the first £150,000 
 £0 
 
 
 1% on the final £20,000 
 £200 
 
 
 The total LTT will be 
 £200 
 
 
 
 ",https://www.gov.wales/land-transaction-tax-rates-and-bands
16,16,Higher rates of Land Transaction Tax,When you do not have to pay LTT," You will not have to pay LTT if you: 
 
 buy a property for less than £225,000 and you do not own any other property 
 buy a new lease for less than 7 years 
 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
17,17,Higher rates of Land Transaction Tax,When the higher rates apply," You’ll usually pay higher LTT rates when both of the following apply: 
 
 you buy a residential property worth £40,000 or more, and 
 you already own 1 or more other properties (see below) 
 
 Include any residential property: 
 
 you hold on behalf of children aged under 18 (parents are treated as owners, even if the property is held through a trust and they’re not the trustees) 
 you’ve an interest in as the beneficiary of a trust 
 
 Companies must pay higher rates for any residential property they buy if: 
 
 property is £40,000 or more 
 interest they buy is not subject to a lease which has more than 21 years left 
 
 Transfers of equity are also within the scope of higher rates. 
 If you’re married or in a civil partnership 
 The rules apply to both of you as if you were buying the property together, even if you’re not. 
 If higher rates apply to either of you individually, higher rates apply to the transaction as a whole. 
 Buying with someone else 
 The rules apply to each person buying the property (and their spouse). 
 If higher rates apply to any of you individually, higher rates apply to the transaction as a whole. 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
18,18,Higher rates of Land Transaction Tax,When the higher rates do not apply," You’ll not usually pay higher rates if: 
 
 you use your new property as your main home and have sold the last main home you owned before you buy your new home (or on the same day), or 
 any of the following apply to the property you’re buying:
	 
 is worth less than £40,000 
 a mixture of residential and  non-residential space(https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide)  (like a shop with a flat above it) 
 is ‘moveable’ like a caravan, houseboat or mobile home 
 a freehold property with a lease on it which has more than 21 years left to run, held by someone unconnected to you 
 
 
 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
19,19,Higher rates of Land Transaction Tax,When and how to get a refund," If you sell your previous main home within 3 years of buying your new main home, you can usually  apply for a refund(https://www.gov.wales/claim-refund-land-transaction-tax-higher-rates) . 
 This refund is the difference between the higher and main rates amounts. You can use our  tax calculator(https://www.gov.wales/land-transaction-tax-calculator)  to help work this out. 
 If you buy a new main home but have not yet sold your old main home, higher rates will still apply to the transaction. 
 You cannot get a refund if: 
 
 you or your spouse/civil partner still own any part of your previous main home 
 higher rates still apply for any other reason 
 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
20,20,Higher rates of Land Transaction Tax,Reliefs and exceptions," You may qualify for a relief that reduces the amount of LTT you pay or an exception, so you do not have to pay. 
 If you: 
 
 buy more than 1 property, you may be eligible to claim  multiple dwellings relief(https://www.gov.wales/land-transaction-tax-relief-multiple-dwellings-guide) 
 buy a property that consists of 2 or more dwellings, the  subsidiary dwelling exception(/higher-rates-purchases-residential-property-technical-guidance#5219)  may apply 
 
 If you're buying 6 or more properties, you can usually choose to pay either: 
 
 non-residential rates of LTT 
 higher rates of LTT with multiple dwellings relief(https://www.gov.wales/land-transaction-tax-relief-multiple-dwellings-guide) 
 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
21,21,Higher rates of Land Transaction Tax,How to amend an LTT return," If you believe you’ve submitted your LTT return with the incorrect rate of LTT or any other mistake, use our amendment form to  amend your LTT return(https://www.gov.wales/amend-land-transaction-tax-return) . 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
22,22,Higher rates of Land Transaction Tax,Help and support," Higher rates are a complex area of the tax. This guide does not cover all scenarios and should not be solely relied upon to work out if you must pay any tax. 
 For a more detailed explanation, or if you’re uncertain how the tax applies: 
 
 use our  higher rates technical guidance(https://www.gov.wales/higher-rates-purchases-residential-property-technical-guidance) 
 watch our  short explainer videos on higher rates(https://www.youtube.com/playlist?list=PLomRz15Bk0zEmgjq9p_bmTqvmuskUXoZ_) 
 you may want to check with a solicitor or conveyancer 
 contact us(https://www.gov.wales/welsh-revenue-authority/contact-us) 
 
 ",https://www.gov.wales/higher-rates-land-transaction-tax-guide
23,23,Check if you need to pay the higher rate of Land Transaction Tax, ," Use this tool to check whether a transaction is subject to the  higher rate of Land Transaction Tax(https://www.gov.wales/higher-rates-land-transaction-tax-guide) . 
 ",https://www.gov.wales/check-if-you-need-pay-higher-rate-land-transaction-tax
24,24,Check if you need to pay the higher rate of Land Transaction Tax, ," Before you start 
 This should be used as a guide only. It cannot be used as a statement of actual tax liability. 
 For  linked transactions(https://gov.wales/land-transactions#5054)  use our guidance instead. 
 ",https://www.gov.wales/check-if-you-need-pay-higher-rate-land-transaction-tax
25,25,Check if you need to pay the higher rate of Land Transaction Tax, ," Support 
 If you find the questions do not relate to your situation: 
 
 refer to  higher rates technical guidance(https://www.gov.wales/higher-rates-purchases-residential-property-technical-guidance) 
 contact us(https://www.gov.wales/welsh-revenue-authority/contact-us)  if your query is complex 
 
 ",https://www.gov.wales/check-if-you-need-pay-higher-rate-land-transaction-tax
26,26,Check if you need to pay the higher rate of Land Transaction Tax,BUTTON LINK,Start now (https://services.wra.gov.wales/rate-checker),https://www.gov.wales/check-if-you-need-pay-higher-rate-land-transaction-tax
27,27,Land Transaction Tax for non-residential and mixed use property,Non-residential and mixed use property," Non-residential means any land and buildings that are not residential property. 
 Non-residential property includes: 
 
 shops 
 offices 
 agricultural land (working farmland) 
 bare land 
 
 Non-residential land or property is likely to have been commercially exploited by machinery or used for business. 
 A ‘mixed’ property (also known as mixed use) has both residential and non-residential elements. 
 For example: 
 
 a building which contains a shop and a flat 
 a house with a doctor’s surgery 
 a working farm with land that’s been farmed for commercial gain 
 
 ",https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide
28,28,Land Transaction Tax for non-residential and mixed use property,When non-residential rates apply," If you buy a non-residential or mixed use property or land, you pay the  non-residential tax rates(/land-transaction-tax-rates-and-bands#8959)(/land-transaction-tax-rates-and-bands#8959) . 
 For chargeable leases, you pay the following: 
 
 the  non-residential rent rates(/land-transaction-tax-rates-and-bands#8961)  for the rent element of the lease 
 the  non-residential tax rates(/land-transaction-tax-rates-and-bands#8959)(/land-transaction-tax-rates-and-bands#8959)  for the premium 
 
 ",https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide
29,29,Land Transaction Tax for non-residential and mixed use property,When non-residential rates may not apply," A transaction is likely to be residential if at the effective date the land or property: 
 
 forms part of the garden or grounds of a dwelling 
 is for the benefit of a dwelling 
 
 For example, a cottage with paddocks or stables for personal use. 
 It’s not always clear if the following are residential, non-residential, or mixed use: 
 
 derelict buildings 
 bed and breakfasts (B&Bs), guest houses or holiday lettings 
 student accommodation 
 
 To help you decide, check our  guidance on ‘is the building a dwelling’(/land-transaction-tax-interpretation-provisions-technical-guidance#31362) . 
 ",https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide
30,30,Land Transaction Tax for non-residential and mixed use property,How to determine if land is non-residential," In most cases, if you buy land attached to a dwelling, it will be garden and grounds, making it residential. The main exception to this is working farmland. 
 To determine whether land attached to a dwelling is residential or non-residential, you need to consider if it’s been used for business or trade. 
 We have  tests to help you decide if land is non-residential(/land-transaction-tax-interpretation-provisions-technical-guidance#31364) . 
 These tests should be applied to the seller, up to and including the effective date. 
 
 
 
 
 Example 
 
 
   
 Farmland is likely to have been exploited by commercial machinery or used for business. 
 At the effective date, it would be unlikely this land would be classed as garden or grounds, making it non-residential. 
 But land not commercially used will be considered garden or grounds, making it residential. 
 
 
 
 
 
 
 
 
 Example 
 
 
   
 Farmland is likely to have been exploited by commercial machinery or used for business. 
 At the effective date, it would be unlikely this land would be classed as garden or grounds, making it non-residential. 
 But land not commercially used will be considered garden or grounds, making it residential. 
 
 
 
 
 
 
   
 Farmland is likely to have been exploited by commercial machinery or used for business. 
 At the effective date, it would be unlikely this land would be classed as garden or grounds, making it non-residential. 
 But land not commercially used will be considered garden or grounds, making it residential. 
 
 
 
 
 Farmland is likely to have been exploited by commercial machinery or used for business. 
 At the effective date, it would be unlikely this land would be classed as garden or grounds, making it non-residential. 
 But land not commercially used will be considered garden or grounds, making it residential. 
 
 The position is not always clear for land: 
 
 with rights of way 
 easements 
 where part of it’s been fenced off 
 
 To help you decide, please check within our  guidance on garden and grounds(/land-transaction-tax-interpretation-provisions-technical-guidance#31364) . 
 ",https://www.gov.wales/land-transaction-tax-non-residential-mixed-use-property-guide
